"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2024-11-06,1,2024-11-03,0.85,33,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.9,34,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.95,34,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.975,35,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.99,35.01,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.01,19.98,"quantile","ILI incidence","NO"
2024-11-06,1,2024-11-03,0.025,22,"quantile","ILI incidence","NO"
2024-11-06,1,2024-11-03,0.05,22,"quantile","ILI incidence","NO"
2024-11-06,1,2024-11-03,0.1,24,"quantile","ILI incidence","NO"
2024-11-06,1,2024-11-03,0.15,26,"quantile","ILI incidence","NO"
2024-11-06,1,2024-11-03,0.2,27,"quantile","ILI incidence","NO"
