target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ARI incidence,CZ,2024-11-03,3,quantile,0.25,1090.0851813402655,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.25,1086.1123760126154,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.3,1087.3214230112735,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.3,1123.0819633111603,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.3,1130.2530973797525,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.3,1117.2819779629524,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.35,1118.6539395644238,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.35,1157.1287683376245,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.35,1168.371234372277,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.35,1151.764120096328,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.4,1150.569265909368,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.4,1192.5018868400127,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.4,1204.9896637376753,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.4,1192.6008069182344,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.45,1193.4668493244583,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.45,1228.5069896220705,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.45,1250.7279852919423,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.45,1227.6404214285055,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.5,1235.6341258178977,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.5,1263.6475975060803,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.5,1291.6647767950003,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.5,1256.7723683739723,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.55,1279.4676690751678,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.55,1311.6518017673466,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.55,1331.9967636649994,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.55,1291.6602241055916,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.6,1315.8062255537413,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.6,1353.1779329889262,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.6,1382.1561394433845,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.6,1338.9913760490829,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.65,1355.3006955476912,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.65,1392.9914243572211,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.65,1418.0979533557436,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.65,1378.889631961584,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.7,1399.607589678223,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.7,1445.75018192581,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.7,1465.1251928703052,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.7,1435.193600661078,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.75,1451.5681785638126,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.75,1506.4044417871319,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.75,1523.233139729306,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.75,1491.1587604406986,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.8,1511.9368936944713,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.8,1560.9420655842907,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.8,1580.7854522956188,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.8,1544.4937945351617,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.85,1588.0543165908734,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.85,1621.147398455966,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.85,1655.3254989843947,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.85,1621.747235974242,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.9,1676.9483975247456,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.9,1715.9102802746688,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.9,1745.5853754424402,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.9,1710.7890843444306,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.95,1814.7799543412932,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.95,1883.9469765414146,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.95,1896.5907802390816,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.95,1867.5332232149472,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.975,1983.4800869780784,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.975,1977.1559222879605,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.975,2025.279011205371,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.975,1976.4029458400703,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.99,2147.6199917914746,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.99,2101.631805101413,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.99,2141.9189620943007,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.99,2127.974041478226,2024-10-23
ARI incidence,CZ,2024-10-20,1,median,,1235.6341258178977,2024-10-23
ARI incidence,CZ,2024-10-27,2,median,,1263.6475975060803,2024-10-23
ARI incidence,CZ,2024-11-03,3,median,,1291.6647767950003,2024-10-23
ARI incidence,CZ,2024-11-10,4,median,,1256.7723683739723,2024-10-23
ARI incidence,FR,2024-10-20,1,quantile,0.01,121.6944914242512,2024-10-23
ARI incidence,FR,2024-10-27,2,quantile,0.01,112.54476547542326,2024-10-23
ARI incidence,FR,2024-11-03,3,quantile,0.01,104.10287592616548,2024-10-23
ARI incidence,FR,2024-11-10,4,quantile,0.01,99.05508291726183,2024-10-23
ARI incidence,FR,2024-10-20,1,quantile,0.025,132.85451001026215,2024-10-23
ARI incidence,FR,2024-10-27,2,quantile,0.025,123.08632666350536,2024-10-23
ARI incidence,FR,2024-11-03,3,quantile,0.025,119.6513210671932,2024-10-23
ARI incidence,FR,2024-11-10,4,quantile,0.025,113.19287876813368,2024-10-23
ARI incidence,FR,2024-10-20,1,quantile,0.05,146.28020532299513,2024-10-23
ARI incidence,FR,2024-10-27,2,quantile,0.05,136.63689870426464,2024-10-23
ARI incidence,FR,2024-11-03,3,quantile,0.05,132.26042645320786,2024-10-23
ARI incidence,FR,2024-11-10,4,quantile,0.05,124.36779383629634,2024-10-23
ARI incidence,FR,2024-10-20,1,quantile,0.1,162.7194303755111,2024-10-23
ARI incidence,FR,2024-10-27,2,quantile,0.1,156.3107257089379,2024-10-23
ARI incidence,FR,2024-11-03,3,quantile,0.1,153.74564295897125,2024-10-23
ARI incidence,FR,2024-11-10,4,quantile,0.1,140.18219760776554,2024-10-23
ARI incidence,FR,2024-10-20,1,quantile,0.15,178.44686545794337,2024-10-23
ARI incidence,FR,2024-10-27,2,quantile,0.15,168.029604744464,2024-10-23
ARI incidence,FR,2024-11-03,3,quantile,0.15,163.28259686104155,2024-10-23
ARI incidence,FR,2024-11-10,4,quantile,0.15,152.13787704872627,2024-10-23
ARI incidence,FR,2024-10-20,1,quantile,0.2,194.87865168340716,2024-10-23
ARI incidence,FR,2024-10-27,2,quantile,0.2,178.20795599997294,2024-10-23
ARI incidence,FR,2024-11-03,3,quantile,0.2,172.11864345737322,2024-10-23
ARI incidence,FR,2024-11-10,4,quantile,0.2,162.06925384723525,2024-10-23
ARI incidence,FR,2024-10-20,1,quantile,0.25,203.80151151308755,2024-10-23
